DEAL_ID,STAGE_CREATED_AT,PIPELINE_ID,PIPELINE_NAME,DEAL_STAGE_ID,STAGE_NAME,STAGE_DISPLAY_ORDER
13384082182,2023-06-08T21:46:44.054Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13384082182,2023-05-29T21:16:21.131Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13386145429,2023-09-20T16:06:40.937Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13386145429,2023-06-15T11:50:45.585Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13388452162,2023-06-05T15:13:49.974Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13388452162,2023-05-19T15:08:40.292Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13392191623,2023-08-24T15:02:18.521Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13392191623,2023-06-08T16:36:26.187Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13392191623,2023-06-01T17:12:21.434Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13411683953,2023-09-13T15:07:09.333Z,default,Mid Market Pipeline,41151bc6-cfe7-4870-9c8b-25ca0d045e54,Closed Won,10
13411683953,2023-09-04T15:56:31.29Z,default,Mid Market Pipeline,contractsent,Procurement/Negotiation,9
13411683953,2023-06-12T13:50:12.629Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13411683953,2023-06-08T14:24:10.969Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13411683953,2023-06-07T13:08:10.259Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13411683953,2023-05-22T14:10:07.835Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13423809859,2023-10-03T16:09:47.996Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13424339363,2023-07-24T13:39:41.994Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13424339363,2023-06-02T13:19:31.087Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
13424339363,2023-05-23T15:28:51.099Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13430832181,2024-01-16T10:25:53.454Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13430832181,2023-08-07T16:45:43.621Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13430832181,2023-05-25T14:03:11.838Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13430896749,2023-07-11T09:29:28.109Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13430896749,2023-06-19T08:40:42.881Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13430896749,2023-06-05T17:12:11.216Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13431080742,2023-07-06T16:36:10.347Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13431080742,2023-06-27T09:00:45.431Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13432260118,2023-06-05T12:53:02.505Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13433534898,2023-05-29T21:35:08.669Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13434822801,2023-09-19T14:23:33.658Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13434822801,2023-07-07T17:40:42.613Z,default,Mid Market Pipeline,contractsent,Procurement/Negotiation,9
13434822801,2023-06-02T22:45:26.899Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
